"districts","ward","indicator","Unit","Date","Value"
"Harare","Total","Male Population","Persons","1992","772741"
"Harare","Total","Male Population","Persons","2002","947386"
"Harare","Total","Male Population","Persons","2012","1025596"
"Harare","Total","Male Population","Persons","2022","1159350"
"Harare","Total","Female Population","Persons","1992","712874"
"Harare","Total","Female Population","Persons","2002","948748"
"Harare","Total","Female Population","Persons","2012","1097536"
"Harare","Total","Female Population","Persons","2022","1267881"
"Harare","Total","Total Population","Persons","1992","1485615"
"Harare","Total","Total Population","Persons","2002","1896134"
"Harare","Total","Total Population","Persons","2012","2123132"
"Harare","Total","Total Population","Persons","2022","2427231"
"Harare","Total","Total Households","Number","2022","653562"
"Harare","Total","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 02","Male Population","Persons","2022","13671"
"Harare Urban","Ward 02","Female Population","Persons","2022","16558"
"Harare Urban","Ward 02","Total Population","Persons","2022","30229"
"Harare Urban","Ward 02","Total Households","Persons","2022","8786"
"Harare Urban","Ward 02","Average Household Size","Number of persons per household","2022","3.4"
"Harare Urban","Ward 03","Male Population","Persons","2022","10583"
"Harare Urban","Ward 03","Female Population","Persons","2022","9928"
"Harare Urban","Ward 03","Total Population","Persons","2022","20511"
"Harare Urban","Ward 03","Total Households","Persons","2022","6197"
"Harare Urban","Ward 03","Average Household Size","Number of persons per household","2022","3.3"
"Harare Urban","Ward 04","Male Population","Persons","2022","5993"
"Harare Urban","Ward 04","Female Population","Persons","2022","5706"
"Harare Urban","Ward 04","Total Population","Persons","2022","11699"
"Harare Urban","Ward 04","Total Households","Persons","2022","3548"
"Harare Urban","Ward 04","Average Household Size","Number of persons per household","2022","3.3"
"Harare Urban","Ward 05","Male Population","Persons","2022","8090"
"Harare Urban","Ward 05","Female Population","Persons","2022","8551"
"Harare Urban","Ward 05","Total Population","Persons","2022","16641"
"Harare Urban","Ward 05","Total Households","Persons","2022","5289"
"Harare Urban","Ward 05","Average Household Size","Number of persons per household","2022","3.1"
"Harare Urban","Ward 06","Male Population","Persons","2022","6648"
"Harare Urban","Ward 06","Female Population","Persons","2022","8452"
"Harare Urban","Ward 06","Total Population","Persons","2022","15100"
"Harare Urban","Ward 06","Total Households","Persons","2022","5829"
"Harare Urban","Ward 06","Average Household Size","Number of persons per household","2022","2.6"
"Harare Urban","Ward 07","Male Population","Persons","2022","13685"
"Harare Urban","Ward 07","Female Population","Persons","2022","12220"
"Harare Urban","Ward 07","Total Population","Persons","2022","25905"
"Harare Urban","Ward 07","Total Households","Persons","2022","7432"
"Harare Urban","Ward 07","Average Household Size","Number of persons per household","2022","3.5"
"Harare Urban","Ward 08","Male Population","Persons","2022","7127"
"Harare Urban","Ward 08","Female Population","Persons","2022","7166"
"Harare Urban","Ward 08","Total Population","Persons","2022","14293"
"Harare Urban","Ward 08","Total Households","Persons","2022","5256"
"Harare Urban","Ward 08","Average Household Size","Number of persons per household","2022","2.7"
"Harare Urban","Ward 09","Male Population","Persons","2022","24718"
"Harare Urban","Ward 09","Female Population","Persons","2022","24784"
"Harare Urban","Ward 09","Total Population","Persons","2022","49502"
"Harare Urban","Ward 09","Total Households","Persons","2022","13256"
